algorithm,pca_dim,n_clusters,n_clusters_found_mean,variance_explained_mean,silhouette_mean,mi_mean,precision_mean,recall_mean,f1_mean,combined_score_mean,n_clusters_found_std,variance_explained_std,silhouette_std,mi_std,precision_std,recall_std,f1_std,combined_score_std
kmeans,2,2,2.0,0.2500784151942746,0.8730876459002145,0.32743882813743974,26.81757656458056,29.011812157879575,27.871574868530306,1.2005264740376542,0.0,8.981832498908263e-11,9.322969600212269e-07,3.204937810639273e-17,0.0,0.0,0.0,9.322969599689224e-07
kmeans,2,3,3.0,0.2500784151942746,0.8784609143892679,0.32777562644086555,28.684952576262493,32.238547968885044,30.35811177428106,1.2062365408301334,0.0,8.981832498908263e-11,9.358346481252887e-07,0.0,3.552713678800501e-15,0.0,3.552713678800501e-15,9.358346482014326e-07
kmeans,2,4,4.0,0.2500784151942746,0.878713911910388,0.32781005036633737,28.758002560819463,32.353788533563815,30.45010845986985,1.2065239622767254,0.0,8.981832498908263e-11,9.329935001927736e-07,0.0,0.0,0.0,0.0,9.329935001927735e-07
kmeans,2,5,5.0,0.2500784151942746,0.8845512216863254,0.32831346315809723,26.377755511022045,30.337078651685392,28.219214792978693,1.2128646848444227,0.0,8.981832498908263e-11,8.744037468513517e-07,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15,8.744037468513517e-07
kmeans,2,7,7.0,0.2500784151942746,0.8054670489788623,0.35854007388642234,32.7743176331902,35.46528377989052,34.06674160272528,1.1640071228652846,0.0,8.981832498908263e-11,0.00023253358496047,0.00011655640355174638,0.23831638399953092,0.2444621542563683,0.24152143964131453,0.00015352828256686368
kmeans,4,2,2.0,0.43117509635816414,0.7773813131162335,0.32655860862504116,8.611037056784857,9.30567559781043,8.944890612018831,1.1039399217412746,0.0,1.598848256068919e-09,2.763285514397574e-06,0.0,0.0,0.0,0.0,2.763285514396503e-06
kmeans,4,3,3.0,0.43117509635816414,0.7907254310178548,0.3266871476541883,8.48,9.16162489196197,8.807644370585793,1.117412578672043,0.0,1.598848256068919e-09,0.0004710871649547934,3.405631203053942e-05,0.0,0.0,0.0,0.000505143332753589
kmeans,4,4,4.0,0.43117509635816414,0.839430334780972,0.33284490004631856,8.299963086949328,8.98876404494382,8.63063952411734,1.1722752348272902,0.0,1.598848256068919e-09,0.0004861142230534658,4.922088389790782e-05,0.10341581808018302,0.12223107712818415,0.11225099336692587,0.0004368936940950644
kmeans,4,5,5.0,0.43117509635816414,0.8428873446135645,0.33372349076508745,9.43496801705757,10.198789974070872,9.802021320780838,1.176610835378652,0.0,1.598848256068919e-09,3.3273511954722024e-06,4.5324665183683945e-17,0.0,0.0,0.0,3.327351195428586e-06
kmeans,4,7,7.0,0.43117509635816414,0.7566419371155794,0.33424032333403336,23.262553897180762,25.141649860750984,24.16562739026622,1.0908822604496127,0.0,1.598848256068919e-09,0.00414871963887833,4.2459238334183214e-05,1.137890773121357,1.2358920020738642,1.1848758882618573,0.004106260519799332
kmeans,6,2,2.0,0.5715889716524069,0.6656615814394131,0.3290772297953195,7.491774234371046,8.527801786228753,7.976286715171113,0.9947388112347326,0.0,9.779818900896522e-07,6.251633119157388e-05,0.0,0.0,0.0,0.0,6.251633119157388e-05
kmeans,6,3,3.0,0.5715889716524069,0.6778132219523604,0.32918755418052464,7.604674659340561,8.527801786228753,8.039313980070547,1.007000776132885,0.0,9.779818900896522e-07,6.324346916489846e-05,0.0,0.12198952803951396,0.0,0.06781619155931468,6.324346916484615e-05
kmeans,6,4,4.0,0.5715889716524069,0.6818971475368832,0.3293873363888726,7.604674659340561,8.527801786228753,8.039313980070547,1.0112844839257558,0.0,9.779818900896522e-07,0.00045782420869787686,4.828758500298625e-05,0.12198952803951396,0.0,0.06781619155931468,0.0004095379370306191
kmeans,6,5,5.0,0.5715889716524069,0.7244752603669219,0.3346849892483568,6.603424070174543,8.556611927398444,7.454195625518764,1.0591602496152788,0.0,9.779818900896522e-07,6.747600855015574e-05,0.0,0.0006921621611431762,0.0,0.00044098826815235494,6.747600855017722e-05
kmeans,6,7,7.0,0.5715889716524069,0.7221316902766578,0.3420458579846824,6.599287073822443,8.527801786228753,7.440613530684902,1.0641775482613405,0.0,9.779818900896522e-07,7.018976579359951e-05,8.489595756724415e-05,0.0018348432696981998,0.0,0.0011663061205386626,0.00012915468697194524
kmeans,8,2,2.0,0.6619908319926427,0.6099753391372565,0.3288993007512025,7.865564350630312,8.527801786228753,8.183255972027041,0.9388746398884589,0.0,6.798672665150252e-06,2.2827457348134726e-05,3.204937810639273e-17,0.03927127195191437,0.0,0.02129029403488179,2.2827457348093198e-05
