Metric,Hybrid,Random,Difference (Hybrid - Random)
avg_kl_divergence,0.00029244922184702287,0.00011660674913899799,0.00017584247270802488
avg_js_distance,8.033214545751127e-05,1.2853336300042622e-05,6.747880915746866e-05
class_ratio_diff,4.464464508324717e-05,4.464464508324717e-05,0.0
pca_variance_diff,0.0229366598365576,0.004642192440577841,0.018294467395979758
auc_diff,1.7871036285366237e-05,0.0004040680333351476,-0.0003861969970497814
auc_orig,0.9983838624806053,0.9983838624806053,0.0
auc_red,0.9983659914443199,0.99797979444727,0.0003861969970498924
pr_auc_diff,6.265229805391126e-05,0.0008596588245364245,-0.0007970065264825132
pr_auc_orig,0.9965191657800272,0.9965191657800272,0.0
pr_auc_red,0.9964565134819733,0.9956595069554908,0.0007970065264825132
anomaly_auc_diff,0.010282782434053561,0.011324483858216605,-0.001041701424163044
anomaly_auc_orig,0.736128693808423,0.736128693808423,0.0
anomaly_auc_red,0.7258459113743695,0.7248042099502064,0.001041701424163044
