Feature,Importance_DT,Importance_RF,Permutation_DT,Permutation_RF
isSystemUser,0.9585405084471057,0.4596609013523443,0.22755,0.22196333333333343
sus,0.0010893075046705834,0.27171798959117077,0.0001700000000000146,0.0002766666666667472
returnValueCat,0.00018840955544949733,0.1025402527344991,2.9999999999996697e-05,0.0
eventId,0.00032525936728699194,0.07009110895689319,2.9999999999996697e-05,0.0007633333333333603
argsNum,0.00033876694913540694,0.05966589068832107,4.666666666666153e-05,7.00000000000145e-05
isSystemParentProcess,0.03951774817635173,0.024178703690785702,0.01662666666666669,0.01650333333333337
isDefaultMountNamespace,0.0,0.011971851547970454,0.0,-6.666666666665932e-06
isSystemProcess,0.0,0.0001733014380155245,0.0,0.0
