pca_dim,eps,min_samples,n_clusters_found,silhouette,mi,combined_score,precision,recall,f1,noise_percentage,n_clusters_found_std,silhouette_std,mi_std,combined_score_std,precision_std,recall_std,f1_std,noise_percentage_std
3,0.2,5,23.0,0.6387268438226859,0.384357817723542,1.023084661546228,100.0,92.21902017291067,95.95202398800599,2.8800000000000003,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,4.440892098500626e-16
3,0.2,10,15.0,0.6647133360968421,0.3783623510247573,1.0430756871215994,100.0,92.21902017291067,95.95202398800599,4.14,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.2,15,12.0,0.6798639014089575,0.3762598859210125,1.05612378732997,100.0,92.21902017291067,95.95202398800599,5.18,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.2,20,11.0,0.6802546517858161,0.37498267491528364,1.0552373267011,100.0,92.21902017291067,95.95202398800599,5.760000000000001,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,8.881784197001252e-16
3,0.2,50,6.0,0.7042270703516329,0.3677760598386762,1.072003130190309,100.0,92.21902017291067,95.95202398800599,10.699999999999998,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,1.7763568394002505e-15
3,0.3,5,15.0,0.6199038287460333,0.3828486863850025,1.002752515131036,100.0,92.21902017291067,95.95202398800599,2.08,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.3,10,13.0,0.6210596534367474,0.3812821116552459,1.0023417650919932,100.0,92.21902017291067,95.95202398800599,2.52,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.3,15,10.0,0.6227070692603087,0.3783899419932233,1.001097011253532,100.0,92.21902017291067,95.95202398800599,3.4599999999999995,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,4.440892098500626e-16
3,0.3,20,9.0,0.6263662043460686,0.3759853404099884,1.002351544756057,100.0,92.21902017291067,95.95202398800599,4.22,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.3,50,5.0,0.655039657259878,0.36993820179957676,1.024977859059455,100.0,92.21902017291067,95.95202398800599,7.86,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.4,5,11.0,0.7440760991649166,0.38317460825715016,1.1272507074220668,100.0,92.21902017291067,95.95202398800599,1.4400000000000002,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,2.220446049250313e-16
3,0.4,10,9.0,0.7449200923412628,0.3823644867332341,1.127284579074497,100.0,92.21902017291067,95.95202398800599,1.78,0.0,1.1102230246251565e-16,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.4,15,8.0,0.7467649349845097,0.3820354786043929,1.1288004135889027,100.0,92.21902017291067,95.95202398800599,2.1,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.4,20,7.0,0.7505332518032041,0.3801469378140852,1.1306801896172893,100.0,92.21902017291067,95.95202398800599,2.56,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.4,50,4.0,0.8258270040483192,0.37232805229756333,1.1981550563458825,100.0,92.21902017291067,95.95202398800599,5.680000000000001,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.5,5,11.0,0.7379933747267918,0.37716973053023634,1.1151631052570283,100.0,92.21902017291067,95.95202398800599,1.2,0.0,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.5,10,8.0,0.7380433462635029,0.3762807427251442,1.114324088988647,100.0,92.21902017291067,95.95202398800599,1.5599999999999998,0.0,1.1102230246251565e-16,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.5,15,7.0,0.741277045334446,0.37585025072079187,1.1171272960552379,100.0,92.21902017291067,95.95202398800599,1.82,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.5,20,6.0,0.7439037217939645,0.37520466177409495,1.1191083835680593,100.0,92.21902017291067,95.95202398800599,2.22,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.5,50,5.0,0.809167420691313,0.37223330182854486,1.181400722519858,100.0,92.21902017291067,95.95202398800599,3.44,0.0,1.1102230246251565e-16,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0
3,0.6,5,10.0,0.6993701261954622,0.35237922398950855,1.0517493501849708,100.0,92.507204610951,96.10778443113772,0.8000000000000002,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,1.1102230246251565e-16
3,0.6,10,6.0,0.7496133876727534,0.35236437980363267,1.1019777674763862,100.0,92.507204610951,96.10778443113772,1.4400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16
3,0.6,15,5.0,0.769081093322279,0.3519257621127954,1.1210068554350745,100.0,92.507204610951,96.10778443113772,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.6,20,4.0,0.7835374562019263,0.3513545869877907,1.134892043189717,100.0,92.507204610951,96.10778443113772,2.06,0.0,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0
3,0.6,50,5.0,0.7961392805731777,0.37584782953311385,1.1719871101062915,100.0,92.507204610951,96.10778443113772,2.1399999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.7,5,9.0,0.714008461039732,0.35200899347273457,1.0660174545124665,100.0,92.507204610951,96.10778443113772,0.68,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,1.1102230246251565e-16
3,0.7,10,4.0,0.7160266931189859,0.3506854011695228,1.0667120942885087,100.0,92.507204610951,96.10778443113772,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16
3,0.7,15,4.0,0.7160266931189859,0.3506854011695228,1.0667120942885087,100.0,92.507204610951,96.10778443113772,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16
3,0.7,20,3.0,0.8758361222283207,0.3501002670143665,1.225936389242687,100.0,92.507204610951,96.10778443113772,1.7399999999999995,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16
3,0.7,50,4.0,0.7790212369569188,0.3512126291951798,1.1302338661520985,100.0,92.507204610951,96.10778443113772,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.8,5,9.0,0.7129309799996207,0.35071930539504087,1.0636502853946617,100.0,92.507204610951,96.10778443113772,0.62,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
